19995,Avatar,"['Action', 'Adventure', 'Fantasy', 'ScienceFiction']"
285,Pirates of the Caribbean: At World's End,"['Adventure', 'Fantasy', 'Action']"
206647,Spectre,"['Action', 'Adventure', 'Crime']"
49026,The Dark Knight Rises,"['Action', 'Crime', 'Drama', 'Thriller']"
49529,John Carter,"['Action', 'Adventure', 'ScienceFiction']"
559,Spider-Man 3,"['Fantasy', 'Action', 'Adventure']"
38757,Tangled,"['Animation', 'Family']"
99861,Avengers: Age of Ultron,"['Action', 'Adventure', 'ScienceFiction']"
767,Harry Potter and the Half-Blood Prince,"['Adventure', 'Fantasy', 'Family']"
209112,Batman v Superman: Dawn of Justice,"['Action', 'Adventure', 'Fantasy']"
1452,Superman Returns,"['Adventure', 'Fantasy', 'Action', 'ScienceFiction']"
10764,Quantum of Solace,"['Adventure', 'Action', 'Thriller', 'Crime']"
58,Pirates of the Caribbean: Dead Man's Chest,"['Adventure', 'Fantasy', 'Action']"
57201,The Lone Ranger,"['Action', 'Adventure', 'Western']"
49521,Man of Steel,"['Action', 'Adventure', 'Fantasy', 'ScienceFiction']"
2454,The Chronicles of Narnia: Prince Caspian,"['Adventure', 'Family', 'Fantasy']"
24428,The Avengers,"['ScienceFiction', 'Action', 'Adventure']"
1865,Pirates of the Caribbean: On Stranger Tides,"['Adventure', 'Action', 'Fantasy']"
41154,Men in Black 3,"['Action', 'Comedy', 'ScienceFiction']"
122917,The Hobbit: The Battle of the Five Armies,"['Action', 'Adventure', 'Fantasy']"
1930,The Amazing Spider-Man,"['Action', 'Adventure', 'Fantasy']"
20662,Robin Hood,"['Action', 'Adventure']"
57158,The Hobbit: The Desolation of Smaug,"['Adventure', 'Fantasy']"
2268,The Golden Compass,"['Adventure', 'Fantasy']"
254,King Kong,"['Adventure', 'Drama', 'Action']"
597,Titanic,"['Drama', 'Romance', 'Thriller']"
271110,Captain America: Civil War,"['Adventure', 'Action', 'ScienceFiction']"
44833,Battleship,"['Thriller', 'Action', 'Adventure', 'ScienceFiction']"
135397,Jurassic World,"['Action', 'Adventure', 'ScienceFiction', 'Thriller']"
37724,Skyfall,"['Action', 'Adventure', 'Thriller']"
